"project_name","start_end_SHA","noiseType","changeSet-triple"
"E:\project-DataSets20240920\helios","[1d9a3f8a2ab7eaed053bd473c97458a64cddc51f, 356644270127f33fa2b1e99534e46ef9617e6966, f879bf1cffa86971d81690449755b312d47cabca, fc1a983cf433229c47e50ae120cc16f0864d599c]","[NO_NOISE, NO_NOISE, NO_NOISE]","[DeploymentGroup, Parameters, equals, hashCode]"
"E:\project-DataSets20240920\helios","[1d9a3f8a2ab7eaed053bd473c97458a64cddc51f, 43b6142bdcb44b755967f5801400de168b4dd71b, 7ed579ec07fa7916bfd42cb136586c16fd1d2c19, d9f41835b544239cfa313d752cd68a76f4a056e8]","[NO_NOISE, NO_NOISE, [helios-client/src/main/java/com/spotify/helios/common/descriptors/DeploymentGroup.java|EXTRACT_VARIABLE]]","[equals]"
"E:\project-DataSets20240920\helios","[b6c1f99e6f3efad368b05a966b4355dcebfedccb, bafe4d64a26ea0da66b4e43804a69c6d172b9e1e, d9f41835b544239cfa313d752cd68a76f4a056e8, f269de7d767b78de7adc012dddbfd8845c65128e]","[NO_NOISE, [helios-client/src/main/java/com/spotify/helios/common/descriptors/DeploymentGroup.java|EXTRACT_VARIABLE], [helios-client/src/main/java/com/spotify/helios/common/descriptors/DeploymentGroup.java|RENAME_VARIABLE]]","[equals, hashCode]"
"E:\project-DataSets20240920\symja-parser","[2676ac9c4d267bda758ef4878092d9db50981cbb, 2bb3da9c9f7ea1dcb25811f5ab672bad765f4c04, a02510d62c20c48b31db7c30ccf25f9a27212ba2, ebbd0f1af862a5da4e7305f2b6408a227abc07b4]","[NO_NOISE, NO_NOISE, [symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_PARAMETER, symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_VARIABLE]]","[equals, evaluate]"
"E:\project-DataSets20240920\symja-parser","[2bb3da9c9f7ea1dcb25811f5ab672bad765f4c04, 6e07192e954f2e49af753f47609afb580eebd072, 92a4b41aced93b9fee7363f58e67d3da1fac7959, eb586c3329fdc7d26870911bd2b855ed3ab0594f]","[NO_NOISE, [symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_PARAMETER, symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_VARIABLE], NO_NOISE]","[equals, evaluate]"
"E:\project-DataSets20240920\symja-parser","[450f37b37db111eaed6bf647f2d70f52a1b2b601, 66536c2601a4fabf96eae7f505ae51ba522e3366, 6ba7ddd5fbb3a9906ad60f7d4d423ebc415025bc, 6e07192e954f2e49af753f47609afb580eebd072]","[NO_NOISE, [symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|EXTRACT_VARIABLE], NO_NOISE]","[equals, evaluate]"
"E:\project-DataSets20240920\symja-parser","[450f37b37db111eaed6bf647f2d70f52a1b2b601, 7aa3e469193dadb34023f479bb0ef7de8b2dc011, 7ff71ea88aeca30cbb9a7bfa2748ddec691b909c, 904c28dbcb7a06b2bd6682f9a206762d65e1bc50]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE]","[dependsOn, equals]"
"E:\project-DataSets20240920\symja-parser","[41bd725b47c49a3f3c675c6a1882c1f7770b540c, 6a368b236a876f37a6b78760618e1b38d7b8661a, 7ff71ea88aeca30cbb9a7bfa2748ddec691b909c, fe46fc7f693cb8452ff9fc6337e7e60dc108ef40]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE]","[ASTNode, equals, evaluate, isFree]"
"E:\project-DataSets20240920\symja-parser","[41bd725b47c49a3f3c675c6a1882c1f7770b540c, f5285314398c8aeff0320541e3d76071f2be9a5a, f67fcb2cd1831eee25341ca6cb3fbd9bb4dd493a, fd989c0ce5a0219077008b9d6e89b85fde684e99]","[NO_NOISE, NO_NOISE, [symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_VARIABLE]]","[equals, evaluate]"
"E:\project-DataSets20240920\symja-parser","[1138dde69a6c3f01f3d2cee22bcbed1fd0209ca3, 7106a706b76c7a5ef86f58bd0450e486d0f4102b, ab3be113186ef24e1a4439793182234e45f205d0, f67fcb2cd1831eee25341ca6cb3fbd9bb4dd493a]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_PARAMETER, symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_VARIABLE], NO_NOISE, NO_NOISE]","[equals, evaluate]"
"E:\project-DataSets20240920\symja-parser","[3789023a61a08594dc7e0f64f746e4c03b903f2b, 3c0ce73f598690d07f38afca9833c454d5cf4669, 6b141a8c695acf54a8fb7887c00e57405337cd57, ab3be113186ef24e1a4439793182234e45f205d0]","[NO_NOISE, NO_NOISE, [symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_PARAMETER]]","[ASTNode, equals, evaluate]"
"E:\project-DataSets20240920\symja-parser","[1477a2509f74d55d9018e6ec72d477a70a410a22, 3789023a61a08594dc7e0f64f746e4c03b903f2b, 70ff58f8ec11d4dba54600c65e44af928c42611c, bd5f5078dee89e9309166e431a12486f3aa2e283]","[NO_NOISE, NO_NOISE, NO_NOISE]","[equals, evaluate]"
"E:\project-DataSets20240920\symja-parser","[1477a2509f74d55d9018e6ec72d477a70a410a22, 2af348fe2c4c4eed5e9adfb7785de335c978a1d4, 71d15b84b08d0b850249ba56ca913f32fc3003ea, ad43e381c035522ac39613686b6dbcfade224f5a]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_ATTRIBUTE, symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_PARAMETER], [symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_PARAMETER, symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_VARIABLE], [symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|EXTRACT_VARIABLE]]","[ASTNode, equals, evaluate, getString, hashCode, toString]"
"E:\project-DataSets20240920\symja-parser","[14cf9df498efe75a5545d5daf23bcbff9867c955, 32c121bf173d48a17bf3bed42462b088e2a06580, 4c52d543348fdda4397b2f92e4a59a4974a4673f, ad43e381c035522ac39613686b6dbcfade224f5a]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_ATTRIBUTE, symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_PARAMETER], NO_NOISE, [symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_VARIABLE]]","[ASTNode, equals, evaluate, getString, hashCode, isFree, toString]"
"E:\project-DataSets20240920\symja-parser","[021bb88c1b1dee40e476f2910e9acd8d84c70217, 1bfaf8c4cc811b8bce08b39133dbda7b62d94c7c, 45f1421ef05c8fda5cf6d79ad809cdc99032fae8, 4c52d543348fdda4397b2f92e4a59a4974a4673f]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_PARAMETER], [symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_PARAMETER, symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_VARIABLE], NO_NOISE]","[dependsOn, equals, evaluate]"
"E:\project-DataSets20240920\symja-parser","[1bfaf8c4cc811b8bce08b39133dbda7b62d94c7c, 9cc42cb9841b21f43f93525ee48852bf3e3749d0, d5373b1966134902fe464631fe57e882e8fbba11, d7b6e8a205c276c2884bc8183077f963679f5d7b]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE]","[equals, isFree]"
"E:\project-DataSets20240920\symja-parser","[6827169423b138289385a2c2be66cc8b5adad07e, 9cc42cb9841b21f43f93525ee48852bf3e3749d0, a80bf2fc85c53a742ccf30e755e5ac8400344c05, f8211566c79825fcfa029e6212af5087ad81ac3c]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_PARAMETER, symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_VARIABLE], NO_NOISE, NO_NOISE]","[equals, evaluate]"
"E:\project-DataSets20240920\symja-parser","[1679b751d04094e8005d103f02bb7a6231aaf144, 6827169423b138289385a2c2be66cc8b5adad07e, da23c1dc0be65e1b2c2bbe754d3a193c1113a5f6, f30979563f9d59380ef6ea968b0cbbeb37d142a0]","[NO_NOISE, NO_NOISE, NO_NOISE]","[evaluate]"
"E:\project-DataSets20240920\symja-parser","[5527ead4c351493381e3c5e4f74783bfef9de6ed, aa7547534d3af10738699f03fd95ce913cf59da9, f30979563f9d59380ef6ea968b0cbbeb37d142a0, f3186edd7db797012fd8b17aae87db062bcd6eb6]","[NO_NOISE, [symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|RENAME_PARAMETER], NO_NOISE]","[ASTNode, equals, evaluate, isFree]"
"E:\project-DataSets20240920\symja-parser","[498dfde958da65957915f8f89cb38fc3b001e22a, 6fd7e06ec75d27215544899b0c9868c947eb868e, 75b1881c9fa3cddb50983316b39378711578d82e, f3186edd7db797012fd8b17aae87db062bcd6eb6]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/api/function/SetFunction.java|RENAME_PARAMETER], [symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/ASTNode.java|INVERT_CONDITION], NO_NOISE]","[equals, evaluate]"
"E:\project-DataSets20240920\scribejava","[2ebfb553c58dcae65e38d102c28a067fb9c9f3b4, 90ae716c45e6e905d925875f75402b3cbc102b25, a7678937fd534042af383b701e4e3e2f787048c3, f758361c19dc4674a321cb0a33e07c4e36b0e4b8]","[[scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE], [scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE], [scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE]]","[internalEncode, internalEncodeUrlWithoutPadding]"
"E:\project-DataSets20240920\scribejava","[57fb4e326bbf479841d25473fbc6a4f947ddbe85, 958b62d74ba311cc036d1961e7b2085930da17a6, 9d881be35ab250fbf72f667af147972711142a50, a7678937fd534042af383b701e4e3e2f787048c3]","[[scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE, scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_PARAMETER], [scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_PARAMETER], [scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE, scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_PARAMETER]]","[internalEncode, internalEncodeUrlWithoutPadding]"
"E:\project-DataSets20240920\scribejava","[28e09c478866181b5a7778d9c42068a35693e2fe, 57fb4e326bbf479841d25473fbc6a4f947ddbe85, 69506baa5334cf3039df0ce980ee2d7c4362cc19, 9a9617985107b89a522c70b470c7e006a4fb85cc]","[[scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE], [scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_PARAMETER], [scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE, scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_PARAMETER]]","[internalEncode, internalEncodeUrlWithoutPadding]"
"E:\project-DataSets20240920\scribejava","[28e09c478866181b5a7778d9c42068a35693e2fe, 75e8f67a6e09020549e4d065ec2944d47808f143, 89988225ed0552e0a295a210a36f33a66c68e1a7, c59cde3bd646efb4007b3155723e139e63d12e58]","[[scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE, scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_PARAMETER], [scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE, scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_PARAMETER], [scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_ATTRIBUTE, scribejava-java8/src/main/java/com/github/scribejava/java8/base64/Java8Base64.java|RENAME_PARAMETER]]","[internalEncode, internalEncodeUrlWithoutPadding]"
"E:\project-DataSets20240920\scribejava","[17c1de0c2654f50dd4a048781a49ecfe33279312, 76e845889bdb117ba535a0385af822acc2a54bac, 89988225ed0552e0a295a210a36f33a66c68e1a7, d4e01ac8ea66516fafec734cf2713c6bdb1fe21e]","[[scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_ATTRIBUTE, scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_PARAMETER], [scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_ATTRIBUTE, scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_PARAMETER], [scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_ATTRIBUTE, scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_PARAMETER]]","[OkHttpHttpClientConfig, getClientBuilder]"
"E:\project-DataSets20240920\scribejava","[4384fb5f2e4ab4a0678b1cb0b01d876066a6b9b5, 5dcc2f2d7b984803e2f1c69cc12e931c0b8501d1, 76e845889bdb117ba535a0385af822acc2a54bac, d1813e2870d647726aba60695222c688811c6bc1]","[[scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_ATTRIBUTE, scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_PARAMETER], [scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_ATTRIBUTE, scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_PARAMETER], [scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OAuthAsyncCompletionHandler.java|RENAME_PARAMETER, scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OAuthAsyncCompletionHandler.java|RENAME_VARIABLE, scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_ATTRIBUTE, scribejava-httpclient-okhttp/src/main/java/com/github/scribejava/httpclient/okhttp/OkHttpHttpClientConfig.java|RENAME_PARAMETER]]","[OAuthAsyncCompletionHandler, OkHttpHttpClientConfig, createDefaultConfig, defaultConfig, getClientBuilder, onResponse]"
"E:\project-DataSets20240920\scribejava","[48969bd01ee878dc1c9354a3e6f82f0542f6c267, 7f3a8cd08c1535c0a2abad632f748c56c8c7a3c7, 97cc9d746b29e80179ed0c34b1a0e7803196cc0a, d1813e2870d647726aba60695222c688811c6bc1]","[NO_NOISE, NO_NOISE, NO_NOISE]","[createClient]"
"E:\project-DataSets20240920\scribejava","[4653191825c5a8eb65ae15c88c7cb9dcdcc81146, 7f3a8cd08c1535c0a2abad632f748c56c8c7a3c7, ebf9ce166574d6f96d877bd7b038701c840a1a68, f564ea6120c8d227b6b46cbec2e959ba387fec3b]","[[scribejava-httpclient-ning/src/main/java/com/github/scribejava/httpclient/ning/NingProvider.java|RENAME_PARAMETER], NO_NOISE, [scribejava-httpclient-ning/src/main/java/com/github/scribejava/httpclient/ning/NingProvider.java|RENAME_PARAMETER]]","[createClient]"
"E:\project-DataSets20240920\scribejava","[ab503a7bd714062d8e5fc57e2f9cffc932a0ae26, d45d887907c2f4b2d726dc901579e0a82765dd12, d7fe6039b258f55f5dc8c0e8b188cb4147dd92af, f564ea6120c8d227b6b46cbec2e959ba387fec3b]","[NO_NOISE, [scribejava-httpclient-ning/src/main/java/com/github/scribejava/httpclient/ning/NingProvider.java|RENAME_PARAMETER], NO_NOISE]","[createClient]"
"E:\project-DataSets20240920\scribejava","[14af84e99cfdeaa0532ce5899141e97cffeb1d2a, a00c96c55bc7ba57cabbb382190ecd1b4d48c99a, d7fe6039b258f55f5dc8c0e8b188cb4147dd92af, dc07575a50ed84db4fa3e2ccd7f540b3d70a6e4e]","[[scribejava-httpclient-ning/src/main/java/com/github/scribejava/httpclient/ning/NingProvider.java|RENAME_PARAMETER, scribejava-httpclient-ning/src/main/java/com/github/scribejava/httpclient/ning/OAuthAsyncCompletionHandler.java|RENAME_PARAMETER], [scribejava-httpclient-armeria/src/main/java/com/github/scribejava/httpclient/armeria/ArmeriaProvider.java|RENAME_PARAMETER], [scribejava-httpclient-armeria/src/main/java/com/github/scribejava/httpclient/armeria/ArmeriaProvider.java|INVERT_CONDITION]]","[OAuthAsyncCompletionHandler, createClient, onCompleted]"
"E:\project-DataSets20240920\scribejava","[0bf39ffc946408dceb4815be0a2677ac0ae79318, 51c40ffc73b10c0f0bda7c4833a9a163e935da94, 7cbb2c98d99a5a1a688b1cda4204a223e3fc5a0e, dc07575a50ed84db4fa3e2ccd7f540b3d70a6e4e]","[[scribejava-httpclient-armeria/src/main/java/com/github/scribejava/httpclient/armeria/ArmeriaProvider.java|RENAME_PARAMETER], NO_NOISE, [scribejava-httpclient-armeria/src/main/java/com/github/scribejava/httpclient/armeria/ArmeriaWebClientBuilder.java|RENAME_ATTRIBUTE, scribejava-httpclient-armeria/src/main/java/com/github/scribejava/httpclient/armeria/ArmeriaWebClientBuilder.java|RENAME_PARAMETER, scribejava-httpclient-armeria/src/main/java/com/github/scribejava/httpclient/armeria/ArmeriaWebClientBuilder.java|RENAME_VARIABLE]]","[ArmeriaWebClientBuilder, createClient, protocol]"
"E:\project-DataSets20240920\scribejava","[4d09d5d38308fc51bccb80edf324f5c1d8481d39, 523970d6af56b61b5fb2a29568e02ca243bc6fb7, 7cbb2c98d99a5a1a688b1cda4204a223e3fc5a0e, d2d46487481294f311e8f073cb0e6416c30b66d3]","[[scribejava-httpclient-apache/src/main/java/com/github/scribejava/httpclient/apache/OAuthAsyncCompletionHandler.java|SPLIT_CONDITIONAL], NO_NOISE, NO_NOISE]","[cancelled, completed, getResult]"
"E:\project-DataSets20240920\scribejava","[1163a953ab496e8704d2f6a9e56723d59a757d33, 4d09d5d38308fc51bccb80edf324f5c1d8481d39, 74b02d84bec9657f4a8f30a416475e9a28907581, bc471a048a23a4924d599eca83179d1783b3581d]","[NO_NOISE, NO_NOISE, NO_NOISE]","[OAuthAsyncCompletionHandler, completed]"
"E:\project-DataSets20240920\scribejava","[315d374656f4b3665a82110831fa4d505d1ce234, 6dc56b3bb1319d62103eaed39cd28d4f2a1d8e4c, 70a6aef2d9d1ceb2a96fbe7eaa93f8a4a2859a78, bc471a048a23a4924d599eca83179d1783b3581d]","[NO_NOISE, NO_NOISE, [scribejava-httpclient-apache/src/main/java/com/github/scribejava/httpclient/apache/OAuthAsyncCompletionHandler.java|EXTRACT_VARIABLE, scribejava-httpclient-apache/src/main/java/com/github/scribejava/httpclient/apache/OAuthAsyncCompletionHandler.java|RENAME_VARIABLE]]","[OAuthAsyncCompletionHandler, completed]"
"E:\project-DataSets20240920\scribejava","[6ca77b483a0272305630539cfcaae78a3117950f, 70a6aef2d9d1ceb2a96fbe7eaa93f8a4a2859a78, ac4276ed2cc19447fc316b5d70fd65d07588def9, c71766f6d2d07168f3733c990347961dfb4e2693]","[[scribejava-httpclient-apache/src/main/java/com/github/scribejava/httpclient/apache/OAuthAsyncCompletionHandler.java|SPLIT_CONDITIONAL], NO_NOISE, NO_NOISE]","[OAuthAsyncCompletionHandler, completed]"
"E:\project-DataSets20240920\scribejava","[6ca77b483a0272305630539cfcaae78a3117950f, 78a77a2d32eb7f69eaa07c0d6f244d7789c09d8e, c1195da45b2812f1dcb15833620ea4141f2ee71c, ed5471806f201165e14302c1c9865215a1dc3527]","[NO_NOISE, NO_NOISE, NO_NOISE]","[completed, getResult]"
"E:\project-DataSets20240920\scribejava","[1799e64509189c898f5670a69b26ba7496f9782e, 31cfdb4eb57ebe4b69a0fff4674bb40542e153ad, 78a77a2d32eb7f69eaa07c0d6f244d7789c09d8e, b449942eba4b122284def213b31db8c737a93a85]","[NO_NOISE, NO_NOISE, [scribejava-httpclient-apache/src/main/java/com/github/scribejava/httpclient/apache/OAuthAsyncCompletionHandler.java|EXTRACT_VARIABLE]]","[cancelled, completed, failed]"
